feature_names,importance
volume_imbalance_mean_450,198.4
volume_imbalance_mean_300,247.8
total_volume_mean_300,266.8
stock_id_target_enc,278.5
total_volume_mean_450,291.9
ask_spread_mean_450,300.8
trade_size_sum_300,316.9
trade_log_return_realized_volatility_450,328.2
bid_spread_mean_300,333.4
wap_balance_mean_450,340.4
bid_spread_mean_450,349.8
trade_size_sum_450,357.8
volume_imbalance_mean,367.7
trade_size_sum,373.2
trade_log_return_realized_volatility_300,381.4
ask_spread_mean_300,388.2
ask_spread_mean,393.0
log_return2_realized_volatility_450,399.7
trade_order_count_mean_300,404.8
wap_balance_mean_300,414.4
trade_log_return_realized_volatility,422.1
wap_mean_300,432.1
log_return_realized_volatility_450,440.3
trade_order_count_mean_450,452.1
bid_spread_mean,463.6
total_volume_mean,485.6
trade_seconds_in_bucket_count_unique_450,495.1
trade_seconds_in_bucket_count_unique_300,504.5
log_return_realized_volatility_300,513.2
price_spread_mean_300,526.4
wap_mean_450,533.9
price_spread_mean_450,548.6
trade_order_count_mean,558.7
log_return2_realized_volatility_300,585.1
wap_mean,643.3
log_return_realized_volatility,659.3
trade_seconds_in_bucket_count_unique,679.1
wap_balance_mean,697.4
log_return2_realized_volatility,719.6
price_spread_mean,851.4
stock_id,5170.9
